"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06033";"CALÇOENE";"1";"5";"Senador";"30000607892";"147";"LUIZ CANTUÁRIA BARRETO";"LUCAS BARRETO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"14";"PTB";"Partido Trabalhista Brasileiro";"30000050206";"PARTIDO ISOLADO";"PTB";"1";"ELEITO";"N";"2112"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06068";"CUTIAS";"10";"3";"Governador";"30000620103";"25";"DAVID SAMUEL ALCOLUMBRE TOBELEM";"DAVI";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"25";"DEM";"Democratas";"30000050520";"TRABALHO E UNIÃO PELO AMAPÁ";"DEM / REDE / PSDB / PPL / PP / PSC / AVANTE / PSD / PODE / SOLIDARIEDADE";"4";"NÃO ELEITO";"N";"1143"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06084";"PEDRA BRANCA DO AMAPARI";"11";"3";"Governador";"30000613618";"12";"ANTONIO WALDEZ GÓES DA SILVA";"WALDEZ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"30000050363";"COM A FORÇA DO POVO POR MAIS CONQUISTAS";"PDT / PROS / PTB / MDB / DC / PRB / PRP / PC do B / PMB";"6";"2º TURNO";"N";"2106"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";"1";"3";"Governador";"30000613618";"12";"ANTONIO WALDEZ GÓES DA SILVA";"WALDEZ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"30000050363";"COM A FORÇA DO POVO POR MAIS CONQUISTAS";"PDT / PROS / PTB / MDB / DC / PRB / PRP / PC do B / PMB";"6";"2º TURNO";"N";"1691"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06114";"FERREIRA GOMES";"12";"3";"Governador";"30000613618";"12";"ANTONIO WALDEZ GÓES DA SILVA";"WALDEZ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"30000050363";"COM A FORÇA DO POVO POR MAIS CONQUISTAS";"PDT / PROS / PTB / MDB / DC / PRB / PRP / PC do B / PMB";"6";"2º TURNO";"N";"1769"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";"1";"5";"Senador";"30000623196";"360";"GUARACY BATISTA DA SILVEIRA JUNIOR";"GUARACY";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"36";"PTC";"Partido Trabalhista Cristão";"30000050620";"PARTIDO ISOLADO";"PTC";"4";"NÃO ELEITO";"N";"324"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06084";"PEDRA BRANCA DO AMAPARI";"11";"5";"Senador";"30000623196";"360";"GUARACY BATISTA DA SILVEIRA JUNIOR";"GUARACY";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"36";"PTC";"Partido Trabalhista Cristão";"30000050620";"PARTIDO ISOLADO";"PTC";"4";"NÃO ELEITO";"N";"547"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";"12";"5";"Senador";"30000622839";"333";"JORGE WAGNER COSTA GOMES";"WAGNER GOMES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"33";"PMN";"Partido da Mobilização Nacional";"30000050608";"FORÇA E TRABALHO";"PV / PMN / PSOL";"4";"NÃO ELEITO";"N";"42"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06009";"PRACUÚBA";"1";"5";"Senador";"30000622839";"333";"JORGE WAGNER COSTA GOMES";"WAGNER GOMES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"33";"PMN";"Partido da Mobilização Nacional";"30000050608";"FORÇA E TRABALHO";"PV / PMN / PSOL";"4";"NÃO ELEITO";"N";"6"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";"12";"5";"Senador";"30000605846";"151";"FÁTIMA LÚCIA PELAES";"FÁTIMA PELAES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"30000050168";"PARTIDO ISOLADO";"MDB";"4";"NÃO ELEITO";"N";"1043"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";"1";"5";"Senador";"30000605846";"151";"FÁTIMA LÚCIA PELAES";"FÁTIMA PELAES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"30000050168";"PARTIDO ISOLADO";"MDB";"4";"NÃO ELEITO";"N";"336"
"28/08/2022";"04:32:29";"2018";"2";"Eleição Ordinária";"1";"297";"ELEIÇÕES GERAIS ESTADUAIS 2018";"07/10/2018";"E";"AP";"AP";"AMAPÁ";"06076";"MAZAGÃO";"5";"5";"Senador";"30000605843";"152";"GILVAM PINHEIRO BORGES";"GILVAM BORGES";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"30000050168";"PARTIDO ISOLADO";"MDB";"4";"NÃO ELEITO";"N";"2222"
